force,slug,fy,closed_all_t1,closed_all_t2,closed_all_t3,closed_all_t6,closed_all_t7,closed_all_t8,closed_all_t22,closed_all_oocd,closed_all_positive,closed_all_assigned,closed_ex_fraud_t1,closed_ex_fraud_t2,closed_ex_fraud_t3,closed_ex_fraud_t6,closed_ex_fraud_t7,closed_ex_fraud_t8,closed_ex_fraud_t22,closed_ex_fraud_oocd,closed_ex_fraud_positive,closed_ex_fraud_assigned,recorded_all_t1,recorded_all_t2,recorded_all_t3,recorded_all_t6,recorded_all_t7,recorded_all_t8,recorded_all_t22,recorded_all_oocd,recorded_all_positive,recorded_all_assigned,recorded_ex_fraud_t1,recorded_ex_fraud_t2,recorded_ex_fraud_t3,recorded_ex_fraud_t6,recorded_ex_fraud_t7,recorded_ex_fraud_t8,recorded_ex_fraud_t22,recorded_ex_fraud_oocd,recorded_ex_fraud_positive,recorded_ex_fraud_assigned
South Wales,south-wales,2022/23,9360,83,393,45,167,2349,184,3221,12581,103968,9360,83,393,45,167,2349,184,3221,12581,103968,9710,88,405,39,155,2319,309,3315,13025,106250,9710,88,405,39,155,2319,309,3315,13025,106250
South Wales,south-wales,2023/24,10994,82,439,0,8,1927,580,3036,14030,112302,10994,82,439,0,8,1927,580,3036,14030,112302,11271,94,443,0,1,1789,527,2854,14125,112714,11271,94,443,0,1,1789,527,2854,14125,112714
South Wales,south-wales,2024/25,13523,105,451,1,2,1767,866,3192,16715,110363,13523,105,451,1,2,1767,866,3192,16715,110363,13479,90,517,1,2,1820,944,3374,16853,109186,13479,90,517,1,2,1820,944,3374,16853,109186
South Wales,south-wales,2025/26,14957,97,538,0,2,2149,1400,4186,19143,107554,14957,97,538,0,2,2149,1400,4186,19143,107554,13337,80,466,0,0,2120,1369,4035,17372,100634,13337,80,466,0,0,2120,1369,4035,17372,100634
South Yorkshire,south-yorkshire,2014/15,15431,771,1844,931,624,3258,0,7428,22859,76699,15427,771,1842,931,624,3258,0,7426,22853,76681,11452,576,1324,669,444,2385,0,5398,16850,71288,11452,576,1324,669,444,2385,0,5398,16850,71288
South Yorkshire,south-yorkshire,2015/16,14346,588,1454,634,410,3450,0,6536,20882,98930,14346,588,1454,634,410,3450,0,6536,20882,98930,14598,570,1480,627,418,3482,0,6577,21175,101969,14598,570,1480,627,418,3482,0,6577,21175,101969
South Yorkshire,south-yorkshire,2016/17,13765,467,1204,450,338,3122,0,5581,19346,117032,13765,467,1204,450,338,3122,0,5581,19346,117031,13972,457,1188,447,337,3111,0,5540,19512,121326,13972,457,1188,447,337,3111,0,5540,19512,121326
South Yorkshire,south-yorkshire,2017/18,13318,374,1143,307,310,2682,1,4817,18135,148682,13318,374,1143,307,310,2682,1,4817,18135,148681,12973,344,1136,305,320,2643,1,4749,17722,142089,12973,344,1136,305,320,2643,1,4749,17722,142089
South Yorkshire,south-yorkshire,2018/19,12932,263,1051,277,388,2670,8,4657,17589,147014,12932,263,1051,277,388,2670,8,4657,17589,147014,12818,238,1079,274,388,2642,18,4639,17457,145655,12818,238,1079,274,388,2642,18,4639,17457,145655
South Yorkshire,south-yorkshire,2019/20,12391,244,1476,310,626,3046,1180,6882,19273,149752,12391,244,1476,310,626,3046,1180,6882,19273,149752,12585,228,1505,303,632,3149,1505,7322,19907,148628,12585,228,1505,303,632,3149,1505,7322,19907,148628
South Yorkshire,south-yorkshire,2020/21,11509,196,2170,242,633,6459,5809,15509,27018,128290,11509,196,2170,242,633,6459,5809,15509,27018,128290,11533,200,2168,243,628,6497,5683,15419,26952,130493,11533,200,2168,243,628,6497,5683,15419,26952,130493
South Yorkshire,south-yorkshire,2021/22,10750,146,1930,125,344,5285,5073,12903,23653,147211,10750,146,1930,125,344,5285,5073,12903,23653,147211,11004,158,1910,123,338,5223,5213,12965,23969,148425,11004,158,1910,123,338,5223,5213,12965,23969,148425
South Yorkshire,south-yorkshire,2022/23,12213,177,1381,100,224,4712,3558,10152,22365,160944,12213,177,1381,100,224,4712,3558,10152,22365,160944,12085,182,1347,103,223,4716,3237,9808,21893,160368,12085,182,1347,103,223,4716,3237,9808,21893,160368
South Yorkshire,south-yorkshire,2023/24,13187,157,1201,80,143,4273,109,5963,19150,155139,13187,157,1201,80,143,4273,109,5963,19150,155139,13266,148,1237,76,132,4253,129,5975,19241,154469,13266,148,1237,76,132,4253,129,5975,19241,154469
South Yorkshire,south-yorkshire,2024/25,14458,165,1148,55,51,4025,431,5875,20333,148988,14458,165,1148,55,51,4025,431,5875,20333,148988,14308,177,1121,53,54,4050,437,5892,20200,148220,14308,177,1121,53,54,4050,437,5892,20200,148220
South Yorkshire,south-yorkshire,2025/26,14298,165,1027,38,21,5041,534,6826,21124,143786,14298,165,1027,38,21,5041,534,6826,21124,143786,12708,127,940,37,16,4984,518,6622,19330,139029,12708,127,940,37,16,4984,518,6622,19330,139029
Staffordshire,staffordshire,2014/15,10511,240,1607,225,393,2630,0,5095,15606,60429,10508,240,1607,225,393,2630,0,5095,15603,60402,10682,222,1690,208,375,2614,0,5109,15791,60570,10682,222,1690,208,375,2614,0,5109,15791,60570
Staffordshire,staffordshire,2015/16,10860,191,1430,1,0,2599,0,4221,15081,66878,10860,191,1430,1,0,2599,0,4221,15081,66878,11026,232,1433,3,0,2667,0,4335,15361,68119,11026,232,1433,3,0,2667,0,4335,15361,68119
Staffordshire,staffordshire,2016/17,11302,233,1512,3,4,2900,0,4652,15954,79427,11302,233,1512,3,4,2900,0,4652,15954,79427,11308,303,1416,0,2,2868,0,4589,15897,77548,11308,303,1416,0,2,2868,0,4589,15897,77548
Staffordshire,staffordshire,2017/18,9553,322,1182,5,0,2998,0,4507,14060,76286,9553,322,1182,5,0,2998,0,4507,14060,76286,9877,237,1207,5,0,2984,0,4433,14310,83696,9877,237,1207,5,0,2984,0,4433,14310,83696
Staffordshire,staffordshire,2018/19,8731,264,1060,1,0,2375,0,3700,12431,88596,8731,264,1060,1,0,2375,0,3700,12431,88596,8785,250,1026,4,0,2279,56,3615,12400,84850,8785,250,1026,4,0,2279,56,3615,12400,84850
Staffordshire,staffordshire,2019/20,7466,210,980,18,0,2101,257,3566,11032,81197,7466,210,980,18,0,2101,257,3566,11032,81197,7546,186,985,14,0,2045,222,3452,10998,79225,7546,186,985,14,0,2045,222,3452,10998,79225
Staffordshire,staffordshire,2020/21,5176,92,567,0,1,1175,1115,2950,8126,60937,5176,92,567,0,1,1175,1115,2950,8126,60937,5846,117,616,0,1,1352,1457,3543,9389,66091,5846,117,616,0,1,1352,1457,3543,9389,66091
Staffordshire,staffordshire,2021/22,5604,109,784,0,0,1608,2670,5171,10775,68030,5604,109,784,0,0,1608,2670,5171,10775,68030,5899,107,784,0,0,1598,2481,4970,10869,69587,5899,107,784,0,0,1598,2481,4970,10869,69587
Staffordshire,staffordshire,2022/23,8196,180,865,0,0,2281,1668,4994,13190,92351,8196,180,865,0,0,2281,1668,4994,13190,92351,8419,199,937,0,0,2254,1644,5034,13453,97054,8419,199,937,0,0,2254,1644,5034,13453,97054
Staffordshire,staffordshire,2023/24,8384,191,682,0,1,2992,727,4593,12977,89836,8384,191,682,0,1,2992,727,4593,12977,89836,8203,198,624,0,1,3210,640,4673,12876,85632,8203,198,624,0,1,3210,640,4673,12876,85632
Staffordshire,staffordshire,2024/25,8874,169,379,0,0,4132,267,4947,13821,86330,8874,169,379,0,0,4132,267,4947,13821,86330,8584,165,429,0,0,4066,265,4925,13509,85177,8584,165,429,0,0,4066,265,4925,13509,85177
Staffordshire,staffordshire,2025/26,9797,164,376,0,0,4526,196,5262,15059,89788,9797,164,376,0,0,4526,196,5262,15059,89788,7906,123,230,0,0,4360,178,4891,12797,81574,7906,123,230,0,0,4360,178,4891,12797,81574
Suffolk,suffolk,2014/15,7020,240,1334,229,522,2826,0,5151,12171,31111,7020,240,1334,229,522,2826,0,5151,12171,31111,6926,249,1320,227,514,2876,0,5186,12112,33286,6926,249,1320,227,514,2876,0,5186,12112,33286
Suffolk,suffolk,2015/16,5654,119,396,196,120,1010,1,1842,7496,39201,5654,119,396,196,120,1010,1,1842,7496,39201,5874,141,461,193,132,1243,2,2172,8046,39310,5874,141,461,193,132,1243,2,2172,8046,39310
Suffolk,suffolk,2016/17,5887,243,1026,122,245,2219,2,3857,9744,44067,5887,243,1026,122,245,2219,2,3857,9744,44067,5825,265,1020,120,257,2209,1,3872,9697,45012,5825,265,1020,120,257,2209,1,3872,9697,45012
Suffolk,suffolk,2017/18,5696,266,901,93,303,1737,0,3300,8996,51917,5696,266,901,93,303,1737,0,3300,8996,51917,5920,243,923,96,297,1684,0,3243,9163,53015,5920,243,923,96,297,1684,0,3243,9163,53015
Suffolk,suffolk,2018/19,5733,173,1029,72,306,1493,0,3073,8806,54598,5733,173,1029,72,306,1493,0,3073,8806,54598,6020,200,1049,68,309,1479,0,3105,9125,54438,6020,200,1049,68,309,1479,0,3105,9125,54438
Suffolk,suffolk,2019/20,5956,197,1074,93,393,993,253,3003,8959,57516,5956,197,1074,93,393,993,253,3003,8959,57516,5972,224,1086,92,385,917,294,2998,8970,56657,5972,224,1086,92,385,917,294,2998,8970,56657
Suffolk,suffolk,2020/21,4835,222,887,103,552,852,246,2862,7697,48051,4835,222,887,103,552,852,246,2862,7697,48051,4863,181,856,105,560,851,257,2810,7673,48135,4863,181,856,105,560,851,257,2810,7673,48135
Suffolk,suffolk,2021/22,4714,144,769,89,433,932,343,2710,7424,49741,4714,144,769,89,433,932,343,2710,7424,49741,4714,142,785,87,419,966,354,2753,7467,50621,4714,142,785,87,419,966,354,2753,7467,50621
Suffolk,suffolk,2022/23,5179,133,647,10,65,1363,344,2562,7741,52300,5179,133,647,10,65,1363,344,2562,7741,52300,5268,118,679,7,58,1440,362,2664,7932,52084,5268,118,679,7,58,1440,362,2664,7932,52084
Suffolk,suffolk,2023/24,4995,102,618,0,6,1420,357,2503,7498,46373,4995,102,618,0,6,1420,357,2503,7498,46373,4864,106,590,0,5,1404,336,2441,7305,45833,4864,106,590,0,5,1404,336,2441,7305,45833
Suffolk,suffolk,2024/25,4957,74,588,1,9,1626,217,2515,7472,44512,4957,74,588,1,9,1626,217,2515,7472,44512,4778,66,564,1,9,1653,206,2499,7277,44209,4778,66,564,1,9,1653,206,2499,7277,44209
Suffolk,suffolk,2025/26,5319,39,527,0,0,1839,211,2616,7935,43268,5319,39,527,0,0,1839,211,2616,7935,43268,4449,28,473,0,0,1730,158,2389,6838,40316,4449,28,473,0,0,1730,158,2389,6838,40316
Surrey,surrey,2014/15,6769,130,1866,876,832,1774,0,5478,12247,48510,6769,130,1866,876,832,1774,0,5478,12247,48510,6932,143,1890,924,881,1837,0,5675,12607,50183,6932,143,1890,924,881,1837,0,5675,12607,50183
Surrey,surrey,2015/16,6615,160,1744,694,616,3227,0,6441,13056,60947,6615,160,1744,694,616,3227,0,6441,13056,60947,6235,140,1639,606,544,3137,0,6066,12301,59231,6235,140,1639,606,544,3137,0,6066,12301,59231
Surrey,surrey,2016/17,5887,89,1165,372,549,3061,0,5236,11123,61775,5887,89,1165,372,549,3061,0,5236,11123,61775,5936,86,1143,365,536,3079,0,5209,11145,64303,5936,86,1143,365,536,3079,0,5209,11145,64303
Surrey,surrey,2017/18,6033,78,1013,334,769,3016,0,5210,11243,74346,6033,78,1013,334,769,3016,0,5210,11243,74346,6058,92,996,332,780,3035,0,5235,11293,73486,6058,92,996,332,780,3035,0,5235,11293,73486
Surrey,surrey,2018/19,5652,69,836,276,845,3476,0,5502,11154,75957,5652,69,836,276,845,3476,0,5502,11154,75957,6002,57,825,272,850,3558,51,5613,11615,76719,6002,57,825,272,850,3558,51,5613,11615,76719
Surrey,surrey,2019/20,5233,84,511,63,187,4580,220,5645,10878,77627,5233,84,511,63,187,4580,220,5645,10878,77627,5211,94,530,56,163,4298,277,5418,10629,76910,5211,94,530,56,163,4298,277,5418,10629,76910
Surrey,surrey,2020/21,4388,61,595,4,5,4569,306,5540,9928,68030,4388,61,595,4,5,4569,306,5540,9928,68030,4311,59,608,3,0,4590,359,5619,9930,66772,4311,59,608,3,0,4590,359,5619,9930,66772
Surrey,surrey,2021/22,3337,95,545,0,1,2985,490,4116,7453,69144,3337,95,545,0,1,2985,490,4116,7453,69144,3476,97,563,0,0,2996,484,4140,7616,72153,3476,97,563,0,0,2996,484,4140,7616,72153
Surrey,surrey,2022/23,3672,104,432,0,1,3056,596,4189,7861,73082,3672,104,432,0,1,3056,596,4189,7861,73082,4072,117,419,0,0,3113,687,4336,8408,73946,4072,117,419,0,0,3113,687,4336,8408,73946
Surrey,surrey,2023/24,5048,139,522,2,3,2112,965,3743,8791,74710,5048,139,522,2,3,2112,965,3743,8791,74710,5341,166,520,0,0,2052,1090,3828,9169,74803,5341,166,520,0,0,2052,1090,3828,9169,74803
Surrey,surrey,2024/25,6618,116,449,0,0,1808,905,3278,9896,75063,6618,116,449,0,0,1808,905,3278,9896,75063,6268,69,437,0,0,1863,892,3261,9529,72608,6268,69,437,0,0,1863,892,3261,9529,72608
Surrey,surrey,2025/26,7821,56,316,0,1,2441,821,3635,11456,75561,7821,56,316,0,1,2441,821,3635,11456,75561,5943,23,213,0,1,2257,553,3047,8990,67082,5943,23,213,0,1,2257,553,3047,8990,67082
Sussex,sussex,2014/15,14097,745,3879,665,837,3603,0,9729,23826,87772,14082,745,3879,665,837,3603,0,9729,23811,87753,14364,716,3872,672,837,3671,0,9768,24132,89252,14364,716,3872,672,837,3671,0,9768,24132,89252
Sussex,sussex,2015/16,12847,583,3243,499,643,3734,0,8702,21549,94281,12847,583,3243,499,643,3734,0,8702,21549,94281,12865,583,3232,496,647,3747,0,8705,21570,94941,12865,583,3232,496,647,3747,0,8705,21570,94941
Sussex,sussex,2016/17,10855,371,2454,366,622,3095,0,6908,17763,105095,10855,371,2454,366,622,3095,0,6908,17763,105095,10926,358,2409,356,616,2958,0,6697,17623,104536,10926,358,2409,356,616,2958,0,6697,17623,104536
Sussex,sussex,2017/18,10462,258,1844,306,497,2195,0,5100,15562,111634,10462,258,1844,306,497,2195,0,5100,15562,111634,10431,200,1905,315,493,2230,0,5143,15574,113255,10431,200,1905,315,493,2230,0,5143,15574,113255
Sussex,sussex,2018/19,8882,164,1979,255,456,1902,0,4756,13638,113661,8882,164,1979,255,456,1902,0,4756,13638,113661,9404,207,2018,266,458,1912,2,4863,14267,116834,9404,207,2018,266,458,1912,2,4863,14267,116834
Sussex,sussex,2019/20,8323,203,2176,284,20,2191,235,5109,13432,128758,8323,203,2176,284,20,2191,235,5109,13432,128758,8768,199,2195,281,0,2170,324,5169,13937,127671,8768,199,2195,281,0,2170,324,5169,13937,127671
Sussex,sussex,2020/21,8262,185,1861,280,3,1911,432,4672,12934,108242,8262,185,1861,280,3,1911,432,4672,12934,108242,7851,232,1828,274,0,2001,462,4797,12648,108104,7851,232,1828,274,0,2001,462,4797,12648,108104
Sussex,sussex,2021/22,7585,250,1806,128,0,2293,493,4970,12555,116665,7585,250,1806,128,0,2293,493,4970,12555,116665,7710,231,1856,98,0,2393,462,5040,12750,119745,7710,231,1856,98,0,2393,462,5040,12750,119745
Sussex,sussex,2022/23,7255,219,1537,2,0,3981,506,6245,13500,126035,7255,219,1537,2,0,3981,506,6245,13500,126035,7794,206,1465,2,0,4206,632,6511,14305,129141,7794,206,1465,2,0,4206,632,6511,14305,129141
Sussex,sussex,2023/24,8204,202,1306,1,0,5295,683,7487,15691,126866,8204,202,1306,1,0,5295,683,7487,15691,126866,9140,209,1425,1,0,5599,750,7984,17124,135346,9140,209,1425,1,0,5599,750,7984,17124,135346
Sussex,sussex,2024/25,11363,207,1552,0,0,5924,854,8537,19900,146093,11363,207,1552,0,0,5924,854,8537,19900,146093,10784,195,1462,0,0,5702,684,8043,18827,133886,10784,195,1462,0,0,5702,684,8043,18827,133886
Sussex,sussex,2025/26,13829,171,1258,0,0,5717,506,7652,21481,135090,13829,171,1258,0,0,5717,506,7652,21481,135090,11336,92,1078,0,0,5286,450,6906,18242,123419,11336,92,1078,0,0,5286,450,6906,18242,123419
Thames Valley,thames-valley,2014/15,18349,718,4685,1638,1232,3226,0,11499,29848,104982,18342,718,4684,1638,1232,3226,0,11498,29840,104958,19035,679,4724,1686,1241,3345,0,11675,30710,119337,19035,679,4724,1686,1241,3345,0,11675,30710,119337
Thames Valley,thames-valley,2015/16,19629,634,3775,1153,991,3431,0,9984,29613,126403,19629,634,3775,1153,991,3431,0,9984,29613,126403,19417,627,3765,1155,980,3385,0,9912,29329,129203,19417,627,3765,1155,980,3385,0,9912,29329,129203
Thames Valley,thames-valley,2016/17,17056,551,2751,723,836,2851,0,7712,24768,137544,17056,551,2751,723,836,2851,0,7712,24768,137543,17080,540,2743,714,872,2827,0,7696,24776,137645,17080,540,2743,714,872,2827,0,7696,24776,137645
Thames Valley,thames-valley,2017/18,14831,489,2037,420,609,1671,0,5226,20057,142653,14831,489,2037,420,609,1671,0,5226,20057,142653,15331,522,2209,436,676,1762,0,5605,20936,148511,15331,522,2209,436,676,1762,0,5605,20936,148511
Thames Valley,thames-valley,2018/19,14008,435,1960,371,690,1409,0,4865,18873,157430,14008,435,1960,371,690,1409,0,4865,18873,157430,14549,454,1984,373,691,1455,0,4957,19506,161289,14549,454,1984,373,691,1455,0,4957,19506,161289
Thames Valley,thames-valley,2019/20,13478,408,2051,436,775,1581,0,5251,18729,175024,13478,408,2051,436,775,1581,0,5251,18729,175024,14300,428,2193,484,859,1884,1,5849,20149,170212,14300,428,2193,484,859,1884,1,5849,20149,170212
Thames Valley,thames-valley,2020/21,12938,405,2264,701,691,6095,0,10156,23094,148617,12938,405,2264,701,691,6095,0,10156,23094,148617,12433,341,2101,632,425,6720,0,10219,22652,149373,12433,341,2101,632,425,6720,0,10219,22652,149373
Thames Valley,thames-valley,2021/22,10328,338,2111,514,33,8879,18,11893,22221,167867,10328,338,2111,514,33,8879,18,11893,22221,167867,10956,370,2224,505,10,9066,18,12193,23149,174560,10956,370,2224,505,10,9066,18,12193,23149,174560
Thames Valley,thames-valley,2022/23,11985,413,2292,429,20,8883,3,12040,24025,184596,11985,413,2292,429,20,8883,3,12040,24025,184596,11677,443,2180,369,2,8577,6,11577,23254,181639,11677,443,2180,369,2,8577,6,11577,23254,181639
Thames Valley,thames-valley,2023/24,12896,385,1707,165,5,8331,4,10597,23493,180329,12896,385,1707,165,5,8331,4,10597,23493,180329,13087,366,1699,171,2,8303,12,10553,23640,173496,13087,366,1699,171,2,8303,12,10553,23640,173496
Thames Valley,thames-valley,2024/25,15251,302,1806,152,2,8280,20,10562,25813,175362,15251,302,1806,152,2,8280,20,10562,25813,175362,14626,261,1814,141,1,8220,127,10564,25190,170273,14626,261,1814,141,1,8220,127,10564,25190,170273
Thames Valley,thames-valley,2025/26,15656,219,1770,156,1,8934,178,11258,26914,170573,15656,219,1770,156,1,8934,178,11258,26914,170573,12274,118,1437,151,0,8427,96,10229,22503,156737,12274,118,1437,151,0,8427,96,10229,22503,156737
Warwickshire,warwickshire,2014/15,3573,113,1114,204,255,796,0,2482,6055,26684,3573,113,1114,204,255,796,0,2482,6055,26684,3609,130,1108,202,247,794,0,2481,6090,27040,3609,130,1108,202,247,794,0,2481,6090,27040
Warwickshire,warwickshire,2015/16,3856,118,1011,185,202,832,0,2348,6204,30722,3856,118,1011,185,202,832,0,2348,6204,30722,3967,118,1035,183,201,834,0,2371,6338,31437,3967,118,1035,183,201,834,0,2371,6338,31437
Warwickshire,warwickshire,2016/17,4319,148,953,146,179,870,0,2296,6615,37354,4319,148,953,146,179,870,0,2296,6615,37354,4261,157,949,142,180,838,0,2266,6527,37184,4261,157,949,142,180,838,0,2266,6527,37184
Warwickshire,warwickshire,2017/18,3726,110,652,105,138,653,0,1658,5384,40093,3726,110,652,105,138,653,0,1658,5384,40093,3773,102,687,113,149,680,2,1733,5506,41437,3773,102,687,113,149,680,2,1733,5506,41437
Warwickshire,warwickshire,2018/19,3177,79,675,70,149,480,1,1454,4631,42494,3177,79,675,70,149,480,1,1454,4631,42494,3225,83,654,64,146,428,26,1401,4626,41971,3225,83,654,64,146,428,26,1401,4626,41971
Warwickshire,warwickshire,2019/20,3028,70,637,63,113,429,141,1453,4481,41633,3028,70,637,63,113,429,141,1453,4481,41633,3126,91,650,60,108,455,145,1509,4635,41848,3126,91,650,60,108,455,145,1509,4635,41848
Warwickshire,warwickshire,2020/21,3421,110,702,82,249,493,172,1808,5229,37263,3421,110,702,82,249,493,172,1808,5229,37263,3331,98,684,85,247,464,173,1751,5082,36552,3331,98,684,85,247,464,173,1751,5082,36552
Warwickshire,warwickshire,2021/22,2781,72,485,48,113,278,214,1210,3991,39180,2781,72,485,48,113,278,214,1210,3991,39180,2749,70,488,48,115,285,218,1224,3973,40075,2749,70,488,48,115,285,218,1224,3973,40075
Warwickshire,warwickshire,2022/23,2614,61,396,33,88,187,93,858,3472,41753,2614,61,396,33,88,187,93,858,3472,41753,2714,48,386,33,86,179,76,808,3522,41779,2714,48,386,33,86,179,76,808,3522,41779
Warwickshire,warwickshire,2023/24,2972,41,346,7,22,384,103,903,3875,37088,2972,41,346,7,22,384,103,903,3875,37088,3363,40,365,4,19,468,156,1052,4415,39604,3363,40,365,4,19,468,156,1052,4415,39604
Warwickshire,warwickshire,2024/25,3236,28,264,0,0,474,149,915,4151,41282,3236,28,264,0,0,474,149,915,4151,41282,3278,28,268,0,0,446,143,885,4163,39133,3278,28,268,0,0,446,143,885,4163,39133
Warwickshire,warwickshire,2025/26,3859,32,248,0,0,438,185,903,4762,40363,3859,32,248,0,0,438,185,903,4762,40363,2779,23,191,0,0,411,139,764,3543,37070,2779,23,191,0,0,411,139,764,3543,37070
West Mercia,west-mercia,2014/15,10164,538,1947,418,695,2951,0,6549,16713,59544,10164,538,1947,418,695,2951,0,6549,16713,59544,10253,569,1976,408,692,2914,0,6559,16812,60654,10253,569,1976,408,692,2914,0,6559,16812,60654
West Mercia,west-mercia,2015/16,10783,559,2327,317,729,2591,0,6523,17306,72152,10783,559,2327,317,729,2591,0,6523,17306,72152,11230,533,2330,321,732,2619,0,6535,17765,73531,11230,533,2330,321,732,2619,0,6535,17765,73531
West Mercia,west-mercia,2016/17,11544,480,2011,201,533,2333,0,5558,17102,80538,11544,480,2011,201,533,2333,0,5558,17102,80538,11166,524,2027,198,535,2277,16,5577,16743,80442,11166,524,2027,198,535,2277,16,5577,16743,80442
West Mercia,west-mercia,2017/18,9783,490,1419,143,456,1578,0,4086,13869,81864,9783,490,1419,143,456,1578,0,4086,13869,81864,9851,503,1453,153,481,1594,9,4193,14044,84212,9851,503,1453,153,481,1594,9,4193,14044,84212
West Mercia,west-mercia,2018/19,8574,449,1405,138,394,1155,1,3542,12116,87471,8574,449,1405,138,394,1155,1,3542,12116,87471,8673,406,1418,130,373,1086,32,3445,12118,86581,8673,406,1418,130,373,1086,32,3445,12118,86581
West Mercia,west-mercia,2019/20,8549,270,1412,94,439,943,370,3528,12077,86609,8549,270,1412,94,439,943,370,3528,12077,86609,8788,253,1374,91,440,939,390,3487,12275,86606,8788,253,1374,91,440,939,390,3487,12275,86606
West Mercia,west-mercia,2020/21,7236,142,1153,113,646,569,378,3001,10237,73067,7236,142,1153,113,646,569,378,3001,10237,73067,6930,121,1169,113,653,538,391,2985,9915,72652,6930,121,1169,113,653,538,391,2985,9915,72652
West Mercia,west-mercia,2021/22,6324,108,942,67,216,513,842,2688,9012,84583,6324,108,942,67,216,513,842,2688,9012,84583,6419,105,938,68,195,538,902,2746,9165,86932,6419,105,938,68,195,538,902,2746,9165,86932
West Mercia,west-mercia,2022/23,6974,108,817,50,63,565,912,2515,9489,94678,6974,108,817,50,63,565,912,2515,9489,94678,7232,108,762,47,62,592,838,2409,9641,94524,7232,108,762,47,62,592,838,2409,9641,94524
West Mercia,west-mercia,2023/24,8319,58,657,6,1,1514,332,2568,10887,84796,8319,58,657,6,1,1514,332,2568,10887,84796,8686,54,699,5,1,1614,409,2782,11468,85990,8686,54,699,5,1,1614,409,2782,11468,85990
West Mercia,west-mercia,2024/25,9205,57,560,0,1,1274,456,2348,11553,80365,9205,57,560,0,1,1274,456,2348,11553,80365,8906,64,535,0,1,1293,485,2378,11284,79853,8906,64,535,0,1,1293,485,2378,11284,79853
West Mercia,west-mercia,2025/26,9508,77,701,0,2,1804,684,3268,12776,80687,9508,77,701,0,2,1804,684,3268,12776,80687,7868,55,622,0,2,1664,541,2884,10752,73912,7868,55,622,0,2,1664,541,2884,10752,73912
West Midlands,west-midlands,2014/15,30317,936,3936,1157,861,8138,0,15028,45345,176137,30307,936,3935,1157,861,8137,0,15026,45333,176100,30267,958,4024,1188,847,8254,0,15271,45538,175406,30267,958,4024,1188,847,8254,0,15271,45538,175406
West Midlands,west-midlands,2015/16,29360,845,3921,947,741,7503,0,13957,43317,183614,29360,845,3921,947,741,7503,0,13957,43317,183614,29753,882,3947,945,749,7388,0,13911,43664,185151,29753,882,3947,945,749,7388,0,13911,43664,185151
West Midlands,west-midlands,2016/17,28059,776,3279,618,542,5137,0,10352,38411,206469,28059,776,3279,618,542,5137,0,10352,38411,206469,27842,767,3461,589,540,5052,0,10409,38251,205769,27842,767,3461,589,540,5052,0,10409,38251,205769
West Midlands,west-midlands,2017/18,24503,646,3058,183,495,3836,0,8218,32721,229397,24503,646,3058,183,495,3836,0,8218,32721,229397,24666,653,3040,164,502,3874,0,8233,32899,232723,24666,653,3040,164,502,3874,0,8233,32899,232723
West Midlands,west-midlands,2018/19,22903,495,2467,93,608,3447,0,7110,30013,255585,22903,495,2467,93,608,3447,0,7110,30013,255585,23154,523,2439,94,647,3514,0,7217,30371,258503,23154,523,2439,94,647,3514,0,7217,30371,258503
West Midlands,west-midlands,2019/20,20061,440,2126,125,834,2902,0,6427,26488,265231,20061,440,2126,125,834,2902,0,6427,26488,265231,19418,426,1965,122,824,2758,0,6095,25513,258381,19418,426,1965,122,824,2758,0,6095,25513,258381
West Midlands,west-midlands,2020/21,14181,300,1356,56,474,2380,0,4566,18747,260618,14181,300,1356,56,474,2380,0,4566,18747,260618,11488,137,1061,48,410,2047,0,3703,15191,251296,11488,137,1061,48,410,2047,0,3703,15191,251296
West Midlands,west-midlands,2021/22,13389,290,1627,0,4,4116,78,6115,19504,358285,13389,290,1627,0,4,4116,78,6115,19504,358285,13523,235,1201,0,1,4338,554,6329,19852,356000,13523,235,1201,0,1,4338,554,6329,19852,356000
West Midlands,west-midlands,2022/23,13272,216,1395,0,0,4869,406,6886,20158,363205,13272,216,1395,0,0,4869,406,6886,20158,363205,15156,193,1338,0,0,4733,565,6829,21985,365620,15156,193,1338,0,0,4733,565,6829,21985,365620
West Midlands,west-midlands,2023/24,17330,203,1668,0,0,5999,829,8699,26029,325111,17330,203,1668,0,0,5999,829,8699,26029,325111,18515,202,1710,0,0,6016,644,8572,27087,327607,18515,202,1710,0,0,6016,644,8572,27087,327607
West Midlands,west-midlands,2024/25,25700,329,2089,0,0,9014,524,11956,37656,311670,25700,329,2089,0,0,9014,524,11956,37656,311670,24870,324,2056,0,0,9226,172,11778,36648,306736,24870,324,2056,0,0,9226,172,11778,36648,306736
West Midlands,west-midlands,2025/26,32439,310,2325,0,0,11943,132,14710,47149,304417,32439,310,2325,0,0,11943,132,14710,47149,304417,27711,210,2076,0,0,11135,41,13462,41173,286399,27711,210,2076,0,0,11135,41,13462,41173,286399
West Yorkshire,west-yorkshire,2014/15,22269,1069,4773,758,790,4912,0,12302,34571,126258,22219,1069,4772,758,790,4912,0,12301,34520,126176,23344,1170,4955,726,770,5385,0,13006,36350,137318,23344,1170,4955,726,770,5385,0,13006,36350,137318
